标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,,叮叮叮,1,,,
#,1,ce,“什么消息啊……，啊啊啊！我错过了16pro联名首售！！！只能买二手货了！。”,2,,,
#,2,商店老板,“哦!看看是谁来了？！”,3,,,
#,3,ce,“你可真会吵吵，我现在正烦着呢。”,4,,,
#,4,商店老板,“还好上次我遇到抢劫的时候你在场，不然我小命都得丢了，这次给你特价优惠，多看看啊。”,5,,,
#,5,ce,“得了吧，你知道我弄的到钱，每次都从我这大捞一笔。”,6,,,
#,6,商店老板,“嘿嘿，嘿，要恰饭的嘛。”,7,,,
#,7,ce,“给我拿点咖啡。”,8,,,
#,8,商店老板,“你知道的，这东西只有地球能产，产量还只有那么一点点。”,9,,,
#,9,ce,“我什么时候差你钱了？”,10,,,
#,10,商店老板,“这就给您拿。”,11,,,
#,11,ce,“你要买点什么吗，kown，我请客，呃，虽然你只是人工智能。”,12,,,
#,12,商店老板,“给您拿来了，嗯？这位是？”,13,,,
#,13,kown,“你好。”,14,,,
#,14,ce,“这是我的，嗯……电子宠物？呵，电子宠物。”,15,,,
&,15,kown,愿火焰指引您。,16,,,
&,15,kown,我可不是什么宠物。,18,,,
&,15,kown,你说笑了，博士。,19,,,
#,16,商店老板,“它还打游戏？呃，挺帅气的？呵呵呵。”,17,,,
#,17,ce,“哎……”,20,,,
#,18,ce,“这只是个玩笑，kown，你要学会区分它们。”,20,,,
#,19,ce,“哦？别在意。”,20,,,
#,20,ce,“给它看看货吧，帐一起算我头上。”,21,,,
#,21,商店老板,“你看看，我这里还有……”,22,,,
End,22,,,,,58,
